Date,MoonPhase,Season,Month,PoyaName,PakkhaType,special
2026-01-03,FullMoon,Hemanta,Phussa,Māgha,15,
2026-01-18,NewMoon,Hemanta,Magha,Māgha,15,
2026-02-02,FullMoon,Hemanta,Magha,Phagguna,15,
2026-02-16,NewMoon,Hemanta,Phagguna,Phagguna,14,
2026-03-03,FullMoon,Hemanta,Phagguna,Citta,15,
2026-03-18,NewMoon,Gimhana,Citta,Citta,15,
2026-04-02,FullMoon,Gimhana,Citta,Citta,15,
2026-04-16,NewMoon,Gimhana,Adhivesakha,Adhivesākha,14,
2026-05-01,FullMoon,Gimhana,Adhivesakha,Adhivesākha,15,
2026-05-16,NewMoon,Gimhana,Vesakha,Vesākha,15,
2026-05-31,FullMoon,Gimhana,Vesakha,Vesākha,15,
2026-06-14,NewMoon,Gimhana,Jettha,Jeṭṭha,14,
2026-06-29,FullMoon,Gimhana,Jettha,Jeṭṭha,15,
2026-07-14,NewMoon,Gimhana,Asalha,Āsāḷha,15,
2026-07-29,FullMoon,Gimhana,Asalha,Āsāḷha,15,
2026-07-30,,Vassana,Savana,Sāvana,1,Purimikā vassūpanāyikā  
2026-08-13,NewMoon,Vassana,Savana,Sāvana,15,
2026-08-28,FullMoon,Vassana,Savana,Sāvana,15,
2026-08-29,,Vassana,Potthapada,Potthapada,1,Pacchimikā vassūpanāyikā  
2026-09-11,NewMoon,Vassana,Potthapada,Poṭṭhapāda,14,
2026-09-26,FullMoon,Vassana,Potthapada,Poṭṭhapāda,15,
2026-10-11,NewMoon,Vassana,Assayuja,Assayuja,15,
2026-10-26,FullMoon,Vassana,Assayuja,Assayuja,15,Purimikā Pavāraṇā
2026-11-09,NewMoon,Vassana,Kattika,Kattika,14,
2026-11-24,FullMoon,Vassana,Kattika,Kattika,15,Pacchimikā Pavāraṇā
2026-12-09,NewMoon,Hemanta,Maghasira,Māghasira,15,
2026-12-24,FullMoon,Hemanta,Maghasira,Māghasira,15,
2027-01-07,NewMoon,Hemanta,Phussa,Phussa,14,
2027-01-22,FullMoon,Hemanta,Phussa,Phussa,15,
2027-02-06,NewMoon,Hemanta,Magha,Phussa,15,
2027-02-21,FullMoon,Hemanta,Magha,Phussa,15,
2027-03-07,NewMoon,Hemanta,Phagguna,Phussa,14,
2027-03-22,FullMoon,Hemanta,Phagguna,Phussa,15,
2027-04-06,NewMoon,Gimhana,Citta,Phussa,15,
2027-04-21,FullMoon,Gimhana,Citta,Phussa,15,
2027-05-05,NewMoon,Gimhana,Vesakha,Phussa,14,
2027-05-20,FullMoon,Gimhana,Vesakha,Phussa,15,
